Project_code,MPA,Year,Transect,Inside_Outside,Depth_m,Relief_cm,Flat_Rock,Cobble,Boulder,Sand,Macro_count,Macro_dens,Pterygophora,Laminaria,Eisenia,Egregia,Cystoseira,Plocamium,Other_Red,Coralline,Surfgrass,Lob_50,Lob_50-65,Lob_65-80,Lob_legal,Lob_total,Lob_dens
SC_lobster,Cabrillo State Marine Reserve,2012,1,Inside,6.8,14.6,61.75,1.50,16.75,15.00,0.5,0.042,64.75,6.50,0.00,6.00,4.25,10.00,7.75,0.00,0.00,0,2,4,1,7,0.029
SC_lobster,Cabrillo State Marine Reserve,2012,2,Inside,6.1,3.0,77.25,4.25,8.50,10.00,0.65,0.054,71.75,0.75,0.00,2.75,21.25,0.00,82.75,0.00,0.25,2,4,8,0,14,0.058
SC_lobster,Cabrillo State Marine Reserve,2012,3,Inside,7.7,15.7,47.11,2.11,27.11,23.68,0.65,0.054,44.75,0.50,5.00,15.00,1.50,0.50,1.00,0.00,0.00,0,3,2,0,5,0.021
SC_lobster,Cabrillo State Marine Reserve,2012,4,Inside,6.5,2.0,65.50,2.25,27.75,4.50,0.55,0.046,80.00,0.50,0.00,0.50,33.50,0.00,78.00,0.00,0.00,0,3,3,2,8,0.033
SC_lobster,Cabrillo State Marine Reserve,2012,5,Inside,5.3,5.8,90.50,5.25,4.25,0.00,0.25,0.021,19.25,0.50,0.00,17.75,2.00,9.00,14.00,1.00,0.50,0,4,5,4,13,0.054
SC_lobster,Cabrillo State Marine Reserve,2012,6,Inside,5.6,4.0,57.00,4.75,5.00,34.00,0.25,0.021,9.10,0.50,0.00,10.75,10.25,3.00,75.50,0.00,0.00,0,6,17,5,28,0.117
SC_lobster,Cabrillo State Marine Reserve,2012,7,Inside,4.6,27.0,88.00,2.00,5.00,5.00,0.05,0.004,9.75,0.60,0.00,13.50,7.75,6.50,14.75,11.75,0.50,0,6,17,5,28,0.117
SC_lobster,Cabrillo State Marine Reserve,2012,8,Inside,5.9,4.9,70.00,10.50,8.50,12.00,0.8,0.067,33.00,0.75,0.00,16.90,0.75,0.00,80.25,0.00,0.00,0,2,13,8,23,0.096
SC_lobster,Cabrillo State Marine Reserve,2012,9,Inside,7.3,27.9,87.00,2.75,10.25,0.00,1.45,0.121,54.25,0.50,1.00,5.00,2.75,0.00,21.50,0.50,0.00,1,10,10,2,23,0.096
SC_lobster,Cabrillo State Marine Reserve,2012,10,Inside,7.5,12.2,86.25,6.75,0.75,6.25,1.95,0.163,53.75,0.75,0.00,0.50,10.00,13.25,33.50,0.00,0.00,0,4,13,3,20,0.083
SC_lobster,Cabrillo State Marine Reserve,2012,11,Inside,7.2,1.9,95.75,2.25,2.00,0.00,1.4,0.117,69.75,2.00,0.35,4.00,4.50,1.50,26.25,2.50,0.00,1,3,4,2,10,0.042
SC_lobster,Cabrillo State Marine Reserve,2012,12,Inside,6.2,2.7,12.00,6.50,28.50,51.00,0.55,0.046,31.50,1.00,0.00,11.50,7.25,7.00,7.50,0.00,0.50,0,1,5,1,7,0.029
SC_lobster,Cabrillo State Marine Reserve,2012,13,Inside,7.5,2.7,79.50,6.00,11.25,2.00,0.4,0.033,88.00,2.25,0.00,5.50,11.00,2.50,49.50,0.00,0.00,0,10,4,0,14,0.058
SC_lobster,Cabrillo State Marine Reserve,2012,14,Inside,6.7,7.5,49.25,3.25,6.75,42.75,0.2,0.017,0.20,0.00,0.55,0.05,4.75,0.50,89.50,0.00,0.00,0,13,5,0,18,0.075
SC_lobster,Cabrillo State Marine Reserve,2013,15,Inside,6.7,0.4,1.50,0.00,6.65,91.85,0.2,0.017,1.00,0.00,0.00,17.00,0.75,0.00,11.85,0.50,0.00,0,0,0,0,0,0.000
SC_lobster,Cabrillo State Marine Reserve,2013,16,Inside,6.6,0.0,2.25,0.00,6.75,91.00,0.05,0.004,0.00,0.50,0.00,21.05,0.00,0.00,13.10,1.00,2.75,0,1,0,0,1,0.004
SC_lobster,Cabrillo State Marine Reserve,2013,17,Inside,11.4,1.5,90.00,4.50,5.00,0.50,0.35,0.029,67.00,10.50,0.00,0.00,5.25,0.50,15.25,9.50,0.50,0,13,4,0,17,0.071
SC_lobster,Cabrillo State Marine Reserve,2013,18,Inside,11.4,0.6,93.00,5.50,1.50,0.00,0.15,0.013,72.00,12.50,0.00,0.00,5.50,1.50,14.50,20.00,0.00,0,3,9,3,15,0.063
SC_lobster,Cabrillo State Marine Reserve,2013,19,Inside,13.7,2.5,73.00,10.00,10.00,7.00,0.65,0.054,37.75,12.75,0.00,0.00,7.25,3.25,20.00,5.50,0.00,0,8,9,3,20,0.083
SC_lobster,Cabrillo State Marine Reserve,2013,20,Inside,13.0,0.8,83.50,7.50,4.50,4.50,0.85,0.071,42.25,7.50,0.00,0.00,0.50,0.00,24.00,13.50,0.00,0,2,0,0,2,0.008
SC_lobster,Cabrillo State Marine Reserve,2012,1,Outside,6.4,29.5,0.00,0.00,55.50,44.50,0.6,0.050,9.75,4.75,0.00,43.50,9.25,8.50,39.50,0.00,0.00,0,2,18,6,26,0.108
SC_lobster,Cabrillo State Marine Reserve,2012,2,Outside,6.3,17.9,1.75,11.00,41.50,43.75,0.65,0.054,1.25,10.00,5.50,19.50,11.50,0.00,31.00,0.00,0.00,0,2,17,11,30,0.125
SC_lobster,Cabrillo State Marine Reserve,2012,3,Outside,6.0,15.6,2.50,4.50,52.00,40.75,0.65,0.054,3.25,9.00,1.50,19.50,10.50,0.00,43.50,1.25,0.25,0,3,15,6,24,0.100
SC_lobster,Cabrillo State Marine Reserve,2012,4,Outside,4.9,33.4,12.50,0.00,50.75,33.75,0.2,0.017,11.25,2.50,0.00,28.00,13.00,19.00,11.00,0.00,11.75,0,3,2,0,5,0.021
SC_lobster,Cabrillo State Marine Reserve,2012,5,Outside,5.2,12.9,9.50,24.00,61.25,5.25,0.3,0.025,0.50,1.25,11.50,11.75,21.50,0.00,66.00,20.75,0.00,0,1,10,2,13,0.054
SC_lobster,Cabrillo State Marine Reserve,2012,6,Outside,5.6,9.9,15.50,23.50,55.00,3.50,0.15,0.013,1.00,2.25,9.50,16.50,23.50,0.00,46.50,25.00,0.00,0,1,0,0,1,0.004
SC_lobster,Cabrillo State Marine Reserve,2012,7,Outside,14.8,0.5,95.75,0.75,3.50,0.00,0.95,0.079,55.25,3.50,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Cabrillo State Marine Reserve,2012,8,Outside,14.4,1.2,100.00,0.00,0.00,0.00,1.3,0.108,78.00,6.25,0.00,0.00,0.00,5.00,1.00,1.00,0.00,0,0,0,0,0,0.000
SC_lobster,Cabrillo State Marine Reserve,2012,9,Outside,14.7,1.0,97.00,3.00,0.00,0.00,0.65,0.054,81.75,6.50,0.00,0.00,0.75,0.00,1.50,2.00,0.00,0,0,1,0,1,0.004
SC_lobster,Cabrillo State Marine Reserve,2012,10,Outside,11.5,1.5,63.68,0.00,36.32,0.00,2.45,0.204,13.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,3,2,5,0.021
SC_lobster,Cabrillo State Marine Reserve,2012,11,Outside,10.9,4.9,54.00,12.00,32.50,1.50,3.5,0.292,61.25,0.75,0.00,0.00,0.00,2.00,3.25,2.50,0.00,0,0,2,0,2,0.008
SC_lobster,Cabrillo State Marine Reserve,2012,12,Outside,11.0,3.7,71.00,1.50,25.50,0.00,7.2,0.600,19.25,2.00,0.00,0.00,0.25,2.00,0.50,2.00,0.00,0,1,0,0,1,0.004
SC_lobster,Cabrillo State Marine Reserve,2013,13,Outside,14.0,2.8,88.00,7.00,4.50,0.50,0.25,0.021,68.00,21.50,0.00,0.00,0.25,0.50,29.50,29.50,0.00,0,3,3,0,6,0.025
SC_lobster,Cabrillo State Marine Reserve,2013,14,Outside,6.9,4.2,0.50,20.00,56.25,23.25,0,0.000,86.00,5.25,1.00,6.00,0.50,0.25,6.50,15.00,0.00,0,2,0,0,2,0.008
SC_lobster,Cabrillo State Marine Reserve,2013,15,Outside,6.9,4.3,0.00,67.75,2.00,30.25,0,0.000,64.50,7.25,2.00,0.50,3.75,0.00,9.75,7.00,0.00,0,1,0,0,1,0.004
SC_lobster,Cabrillo State Marine Reserve,2013,16,Outside,14.9,0.5,90.75,7.40,1.60,0.25,0.2,0.017,43.50,4.00,0.00,0.00,0.00,1.25,17.50,15.25,0.00,0,0,0,0,0,0.000
SC_lobster,Cabrillo State Marine Reserve,2013,17,Outside,15.2,0.6,88.50,10.50,0.00,1.00,0.45,0.038,49.00,7.25,0.00,0.00,0.00,0.00,20.50,6.25,0.00,0,1,0,1,2,0.008
SC_lobster,Cabrillo State Marine Reserve,2013,18,Outside,14.9,6.3,83.00,14.75,1.00,1.25,0.15,0.013,58.00,10.25,0.00,0.00,0.00,0.00,20.75,9.50,0.00,0,1,0,0,1,0.004
SC_lobster,Laguna Beach State Marine Reserve,2012,1,Inside,6.0,3.4,27.75,4.25,30.75,30.75,0.35,0.029,9.75,2.50,2.25,28.25,3.00,0.00,2.25,0.00,47.25,0,1,3,0,4,0.017
SC_lobster,Laguna Beach State Marine Reserve,2012,2,Inside,5.6,8.5,18.00,0.00,30.50,50.50,0.55,0.046,0.25,0.00,0.00,70.00,0.00,0.00,0.50,0.00,0.00,0,3,6,0,9,0.038
SC_lobster,Laguna Beach State Marine Reserve,2012,3,Inside,5.9,3.1,29.00,0.00,23.00,48.00,0.7,0.058,0.00,0.00,1.25,72.00,3.00,0.00,0.00,0.00,1.50,0,1,1,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2012,4,Inside,4.5,3.9,37.25,2.50,33.75,21.50,0,0.000,8.50,0.25,0.00,0.50,1.75,7.75,17.00,0.75,7.50,0,1,7,0,8,0.033
SC_lobster,Laguna Beach State Marine Reserve,2012,5,Inside,7.0,14.4,71.00,0.00,5.00,24.00,1.4,0.117,0.25,0.00,11.25,7.50,4.00,0.00,9.25,0.00,0.75,0,0,2,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2012,6,Inside,6.8,2.6,43.50,0.00,10.00,46.50,3.4,0.283,0.00,0.50,7.25,4.00,6.00,0.00,3.75,0.00,1.50,0,2,0,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2012,7,Inside,6.7,29.3,82.00,0.50,3.50,13.50,2,0.167,7.75,0.25,0.00,5.75,0.75,3.50,0.00,0.00,0.00,0,8,21,6,35,0.146
SC_lobster,Laguna Beach State Marine Reserve,2012,8,Inside,5.2,12.1,51.50,1.25,9.00,39.75,3.95,0.329,0.00,0.00,8.25,9.00,4.25,0.00,26.75,0.00,0.00,0,3,1,0,4,0.017
SC_lobster,Laguna Beach State Marine Reserve,2012,9,Inside,6.6,3.4,45.00,0.00,14.50,39.50,3.95,0.329,0.00,0.00,10.00,12.75,7.50,0.00,16.25,0.00,0.00,0,1,2,0,3,0.013
SC_lobster,Laguna Beach State Marine Reserve,2012,10,Inside,6.1,29.6,49.50,11.75,35.00,0.00,6.7,0.558,0.00,0.00,3.50,0.00,10.75,0.00,0.00,30.50,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2012,11,Inside,3.4,14.2,80.50,0.50,19.00,0.00,2.7,0.225,0.00,0.00,54.50,0.00,2.25,0.00,19.00,23.50,3.60,0,2,0,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2013,12,Inside,6.4,70.2,7.00,15.25,69.75,8.00,1.35,0.113,0.00,0.25,3.00,0.50,0.00,0.00,20.00,17.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,13,Inside,10.5,51.3,3.25,34.75,40.75,21.25,7.4,0.617,5.65,0.35,1.00,0.20,0.00,0.50,12.00,10.50,0.00,0,2,0,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2013,14,Inside,11.6,0.8,0.00,41.00,21.50,37.50,5.5,0.458,7.25,0.25,15.00,0.70,4.50,0.00,0.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,15,Inside,8.1,46.8,9.00,4.25,78.25,8.50,11.5,0.958,0.00,0.00,31.50,9.50,0.00,0.00,31.50,5.00,3.50,0,7,13,7,27,0.113
SC_lobster,Laguna Beach State Marine Reserve,2013,16,Inside,7.3,524.0,0.00,7.50,77.00,15.50,1.3,0.108,0.00,3.00,33.25,9.50,0.00,0.00,43.00,0.00,1.75,0,0,2,2,4,0.017
SC_lobster,Laguna Beach State Marine Reserve,2013,17,Inside,4.1,51.8,11.50,4.75,78.50,5.25,4.25,0.354,0.00,0.00,34.25,2.85,0.00,0.00,30.00,7.75,13.50,0,6,15,5,26,0.108
SC_lobster,Laguna Beach State Marine Reserve,2012,1,Outside,4.4,21.6,3.00,3.50,55.80,35.00,1.05,0.088,0.50,4.00,0.00,46.75,0.25,4.00,0.75,0.00,22.00,0,4,7,0,11,0.046
SC_lobster,Laguna Beach State Marine Reserve,2012,2,Outside,5.6,5.9,0.00,0.00,20.50,79.50,0.1,0.008,0.00,0.00,1.25,23.50,1.25,0.00,8.50,0.00,3.50,0,0,2,0,2,0.008
SC_lobster,Laguna Beach State Marine Reserve,2012,3,Outside,5.8,5.6,0.50,0.00,46.90,53.10,0.3,0.025,0.00,0.00,5.25,16.25,4.00,0.00,9.75,0.00,28.25,0,7,2,0,9,0.038
SC_lobster,Laguna Beach State Marine Reserve,2012,4,Outside,4.3,31.5,10.75,3.00,57.00,29.25,0.25,0.021,5.25,0.50,0.00,22.25,0.00,1.00,0.75,0.00,66.50,0,2,6,4,12,0.050
SC_lobster,Laguna Beach State Marine Reserve,2012,5,Outside,4.3,6.2,22.00,0.00,51.00,27.00,0.5,0.042,0.00,0.00,11.00,11.75,0.00,0.00,13.00,0.00,64.25,0,11,5,0,16,0.067
SC_lobster,Laguna Beach State Marine Reserve,2012,6,Outside,4.6,6.9,9.00,0.00,56.75,33.25,0.45,0.038,0.00,0.00,8.50,23.75,0.00,0.00,11.00,0.00,53.75,0,10,3,0,13,0.054
SC_lobster,Laguna Beach State Marine Reserve,2012,7,Outside,6.2,0.2,19.50,0.00,10.00,70.50,0.05,0.004,0.00,0.00,0.10,42.50,0.50,0.00,0.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2012,8,Outside,4.6,6.8,6.25,15.75,23.50,54.50,0,0.000,0.00,0.50,0.00,7.25,0.00,0.00,0.00,0.00,0.00,0,1,0,0,1,0.004
SC_lobster,Laguna Beach State Marine Reserve,2012,9,Outside,7.7,24.8,8.50,0.00,0.00,91.50,1.15,0.096,0.00,0.00,2.50,5.50,0.00,0.00,0.00,3.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2012,10,Outside,7.2,6.3,13.75,0.00,0.00,85.25,0.55,0.046,0.00,0.00,1.75,20.25,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,11,Outside,13.0,15.7,26.25,28.50,19.00,26.25,4.25,0.354,0.00,18.50,1.00,0.70,0.00,0.50,14.00,17.00,0.00,1,4,3,1,9,0.038
SC_lobster,Laguna Beach State Marine Reserve,2013,12,Outside,12.6,0.0,2.00,14.50,8.50,75.00,0.7,0.058,0.00,14.00,2.75,21.75,2.00,0.00,10.25,2.25,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,13,Outside,9.9,3.0,0.00,1.50,0.00,98.50,0.4,0.033,0.00,0.00,0.10,0.60,0.00,0.00,0.75,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,14,Outside,6.9,6.5,0.50,2.25,21.75,75.50,1.6,0.133,0.00,0.00,6.90,15.75,0.00,0.00,7.00,2.25,0.25,0,0,0,0,0,0.000
SC_lobster,Laguna Beach State Marine Reserve,2013,15,Outside,9.1,83.6,2.00,32.00,30.75,35.25,3.4,0.283,3.35,0.65,0.00,0.75,0.00,0.00,38.75,0.50,0.00,0,3,5,2,10,0.042
SC_lobster,Laguna Beach State Marine Reserve,2013,16,Outside,8.1,5.2,5.00,7.75,32.00,55.25,2.45,0.204,0.00,0.10,1.60,25.60,0.00,0.00,16.75,2.50,0.00,0,4,2,0,6,0.025
SC_lobster,Point Vicente State Marine Conservation Area,2013,1,Inside,13.0,5.4,0.50,9.50,74.00,16.00,9.85,0.821,1.80,1.40,2.30,0.05,0.00,3.50,32.50,4.00,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,2,Inside,12.6,67.8,24.00,6.75,54.75,14.50,7.2,0.600,4.25,0.50,3.65,0.00,0.00,1.50,14.00,9.00,0.00,0,2,0,0,2,0.008
SC_lobster,Point Vicente State Marine Conservation Area,2013,3,Inside,10.7,42.9,6.25,9.50,74.75,9.50,12.45,1.038,2.20,0.75,4.55,0.25,0.00,13.00,55.00,2.50,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,4,Inside,11.7,79.0,11.25,7.50,71.00,10.25,7.9,0.658,0.50,0.00,2.55,0.00,0.00,0.00,14.00,9.25,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,5,Inside,5.8,1.4,0.00,0.00,3.05,96.95,0.95,0.079,0.00,0.00,0.05,0.00,0.00,0.00,1.25,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,6,Inside,4.6,25.0,5.75,2.50,38.00,53.75,2.05,0.171,1.00,0.00,0.00,3.00,0.00,0.00,15.25,4.40,3.75,0,1,0,0,1,0.004
SC_lobster,Point Vicente State Marine Conservation Area,2013,7,Inside,4.3,30.4,0.00,0.75,34.60,64.65,4.6,0.383,3.50,0.25,4.75,1.75,0.00,7.00,6.00,18.50,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,8,Inside,2.7,82.1,7.25,2.00,82.00,8.75,1.2,0.100,0.00,0.00,0.00,18.60,0.00,0.00,39.75,7.50,21.50,0,2,1,1,4,0.017
SC_lobster,Point Vicente State Marine Conservation Area,2013,1,Outside,15.2,17.8,24.50,27.25,33.00,15.25,3.9,0.325,1.10,1.70,0.25,0.00,0.00,2.30,43.00,4.75,0.00,0,0,0,0,0,0.000
SC_lobster,Point Vicente State Marine Conservation Area,2013,2,Outside,17.7,15.1,2.50,15.00,35.00,47.50,2.55,0.213,10.85,0.00,0.00,0.00,0.00,0.00,5.75,4.00,0.00,0,0,0,0,0,0.000
